column,raw,canonical,notes
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),京都市西京高等学校附属中学校,西京高等学校附属中学校,表記ゆれ
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),西賀茂中学,西賀茂中学校,略記
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),京都府京都市北区西賀茂中学校,西賀茂中学校,住所混じり
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),京都私立西賀茂中学校,西賀茂中学校,誤記
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),西京中学校,西京高等学校附属中学校,略記/誤記
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),西京中学,西京高等学校附属中学校,略記
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),西京高等附属中学校,西京高等学校附属中学校,誤字
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),西京高等学校附属,西京高等学校附属中学校,略記
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),洗足学園中学校・高等学校,洗足学園中学校,統一
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),洗足中学校,洗足学園中学校,略記
あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),天塩高等学校,北海道天塩高等学校,統一
