column,raw,canon,note
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,天塩高等学校,北海道天塩高等学校,統一
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,北海道立天塩高等学校,北海道天塩高等学校,所有者除去
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,宗谷管内天塩高等学校,北海道天塩高等学校,地域表記→統一
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,岩沼市立岩沼小学校,岩沼小学校,所有者除去
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,立岩沼小学校,岩沼小学校,統一
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,岩沼市岩沼小学校,岩沼小学校,地名重複→統一
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,洗足学園中学校・高等学校,洗足学園中学校,中高併設→中に寄せる
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,洗足学園中学校高等学校,洗足学園中学校,中高併設→中に寄せる
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,洗足学園中学校校,洗足学園中学校,「学校校」重複修正
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,洗足中学校,洗足学園中学校,略記
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,洗足学園中学高等学校,洗足学園中学校,中高併設→中に寄せる
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,私立洗足学園中学高等学校,洗足学園中学校,所有者除去＋中寄せ
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,私立洗足学園中学校,洗足学園中学校,所有者除去
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,京都市立西京高等学校,西京高等学校,所有者除去
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西京高校,西京高等学校,略記
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西京高,西京高等学校,略記
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西京高等,西京高等学校,略記
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,京都市立西京高等学校付属中学校,西京高等学校付属中学校,所有者除去
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西京付属中学校,西京高等学校付属中学校,略記
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西京中学,西京高等学校付属中学校,略記
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西京中学校,西京高等学校付属中学校,略記/曖昧
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西京中学校校,西京高等学校付属中学校,重複「学校校」→修正
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,京都市立西賀茂中学校,西賀茂中学校,所有者除去
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西賀茂中学,西賀茂中学校,略記
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,京都府京都市北区西賀茂中学校,西賀茂中学校,住所混じり
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,京都私立西賀茂中学校,西賀茂中学校,誤記
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,洗足学園中学校校校,洗足学園中学校,重複削除
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西京高等学校付属中学校校,西京高等学校付属中学校,「学校校」重複修正
あなたの現在通っている学校名を教えてください（例：〇〇小学校、△△中学校）,西賀茂中学校校,西賀茂中学校,「学校校」重複修正
