ID,開始時刻,完了時刻,メール,名前,あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校),あなたの学年を教えてください,あなたの学校種を教えてください,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)を授業・授業外(宿題など)で何か月くらい利用していますか。※利用期間がX年Yか月だった場合、「X/Y」というようにスラッシュで区切って、全て半角で入力してください(例:1年の場合→1/0、2年3か月の場合→2/3、未使用の場合→0/0)","LEAFシステム(BookRoll,分析(ぶんせき)ツール)を授業・授業外(宿題など)でどれくらい利用していますか","LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)","今年度、 LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの程度使いこなすことができましたか",BookRollでよく使う機能を選んでください(複数選択(せんたく)可),分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),教材や問題を見るため,自分の解答や学び方を振(ふ)り返るため,クラスの人の考えを参考にするため,クラスの人の学び方を参考にするため,AIによる問題推薦(すいせん)やアドバイスを受けるため,理解度が高まったと感じる,勉強を効率よく短時間で行えるようになった,根拠(こんきょ)に基づいた勉強計画や復習を行えるようになった,分析(ぶんせき)ツールを使用することで自分の学習方法に変化が生じた,自分に合った学びを実現する助けになったと感じる,自分で計画を立てたり自分の考えを広めたり深めたりして学ぶ助けになったと感じる,他の人と協力しながら学ぶ助けになったと感じる,自分で課題を設定して追究していく学びの助けになったと感じる,使い方・操作(そうさ)手順がわかりやすい,LEAFシステムに満足している,自由記述,宿題を行う時間 1週間あたり【 】時間 (※半角数字で入力してください),予習・復習を行う時間 1週間あたり【 】時間 (※半角数字で入力してください),学校の勉強以外を行う時間 1週間あたり【 】時間 (※半角数字で入力してください),自分の勉強の仕方を振(ふ)り返る時間 1週間あたり【 】時間 (※半角数字で入力してください),勉強の計画を立てる時間 1週間あたり【 】時間 (※半角数字で入力してください),学校が、タブレットなどを使ってみんなが勉強した記録を調べて、一人一人に合った勉強の仕方を教えることについてどう思いますか?,学校が、タブレットなどを使ってみんなが勉強した記録を名前は分からない形で集計して、授業をよくすることについてどう思いますか?,"学校が、タブレットなどを使ってみんなの勉強した記録を調べて,一人一人に合った進学や将来(しょうらい)の仕事についてのアドバイスをすることをどう思いますか?",アプリの会社が、タブレットなどを使って勉強した記録を調べて、一人一人に合った問題を出題したりアドバイスをすることについてどう思いますか?,"アプリの会社が、タブレットなどを使って勉強した記録を調べて,名前は分からない形で集めて、問題やアドバイスなどを良くすることについてどう思いますか?",みんなやその家族が、学校でコンピュータを使って勉強した小学校から中学校までを記録したデータを見て、学びの振(ふ)り返りや計画を立てたりすることについてどう思いますか?,みんなやその家族が、学校でコンピュータを使って勉強した小学校から大人になってからまでの一生の記録のデータを見て、学びの振(ふ)り返りや計画を立てたりすることについてどう思いますか?,国がコンピュータを使って、みんなの小学校から中学校までの勉強のデータを名前がわからない形で国全体で集めて、勉強の仕方を良くしたり、研究したりすることについてどう思いますか?,国がコンピュータを使って、みんなの小学校から大人になってからの学びも含(ふく)めた一生の勉強のデータを名前がわからない形で国全体で集めて、勉強の仕方を良くしたり、研究したりすることについてどう思いますか?,学校が、顔の動画を分析(ぶんせき)できるコンピュータを使って、みんなの眼の動きを調べて、授業に集中できていない子、なやんでいる子を見つけて、相談にのることについてどう思いますか?,is_combined_jhs_hs,school_geo_prefix,学校種_canon,学校名_canon,学年_canon,利用期間_years,利用期間_months,利用期間_total_months,level_filled_from_grade,needs_manual_level,あなたの現在通っている学校名を教えてください(例:〇〇小学校、△△中学校)_canon,respondent_id
2,2025-01-05 14:22:26,2025-01-05 14:26:42,anonymous,,不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不明,,,,,,不明,不明,,,,,不明,,,,,False,False,不明,1
3,2025-01-08 15:06:45,2025-01-08 15:10:50,anonymous,,不明,中学校3年生,高等学校,,,,使いこなすことができた,手書き;,AIエージェント(AI先生・Tammy等);,頻繁(ひんぱん)に使用している,あまり使用しない,使用することがある,使用することがある,頻繁(ひんぱん)に使用している,少しあてはまる,あてはまる,あてはまる,少しあてはまる,あてはまらない,少しあてはまる,少しあてはまる,あてはまらない,少しあてはまる,少しあてはまる,,1.0,1.0,1.0,1.0,1.0,強く賛成である,どちらかというと賛成である,どちらかというと反対である,強く賛成である,どちらかというと賛成である,強く賛成である,賛成である,強く反対である,賛成である,どちらかというと賛成である,False,,高等学校,不明,中3,,,,False,False,不明,2
4,2025-01-09 11:48:10,2025-01-09 11:50:04,anonymous,,不明,高校3年生,小学校,0,1ヶ月に数回程度,社会;算数・数学,あまり使いこなすことができなかった,マーカー;,マーカー分析(ぶんせき);,使用することがある,使用することがある,使用することがある,頻繁(ひんぱん)に使用している,頻繁(ひんぱん)に使用している,あてはまる,あまりあてはまらない,あてはまる,少しあてはまる,あてはまらない,あてはまる,あてはまらない,使っていない,あてはまらない,あてはまらない,,1.0,2.0,6.0,0.0,0.0,賛成である,賛成である,どちらかというと賛成である,どちらかというと反対である,賛成である,強く賛成である,賛成である,賛成である,どちらかというと賛成である,どちらかというと反対である,False,,小学校,不明,高3,0,0,0,False,False,不明,3
5,2025-01-27 08:08:12,2025-01-27 08:11:37,anonymous,,洗足学園中学校,中学校3年生,中学校,1/0,ほとんど使用していない,算数・数学,システムそのものがよくわからない,ほとんど使ったことがない;,ほとんど使ったことがない;,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,,4.0,1.0,0.0,1.0,1.0,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,質問の意味がわからない,False,,中学校,洗足学園中学校,中3,1,0,12,False,False,洗足学園中学校,4
6,2025-01-27 08:13:55,2025-01-27 08:16:59,anonymous,,洗足中学校,中学校3年生,中学校,8/0,1ヶ月に数回程度,算数・数学,使いこなすことができた,マーカー;,ほとんど使ったことがない;,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あまりあてはまらない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,,10.0,0.0,0.0,0.5,1.5,どちらかというと賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,反対である,反対である,反対である,どちらかというと賛成である,どちらかというと賛成である,強く反対である,False,,中学校,洗足中学校,中3,8,0,96,False,False,洗足学園中学校,5
7,2025-01-27 08:14:28,2025-01-27 08:18:04,anonymous,,洗足学園中学校,中学校3年生,中学校,10,1ヶ月に数回程度,算数・数学,あまり使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,重いです,3.0,1.0,0.0,0.0,0.5,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと反対である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,False,,中学校,洗足学園中学校,中3,10,0,120,False,False,洗足学園中学校,6
8,2025-01-27 08:15:32,2025-01-27 08:18:29,anonymous,,洗足学園中学校,中学校3年生,中学校,0/7,1ヶ月に数回程度,算数・数学,あまり使いこなすことができなかった,マーカー;手書き;,ほとんど使ったことがない;,使用することがある,あまり使用しない,全く使用しない,全く使用しない,質問の意味がわからない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,,18.0,5.0,23.0,1.0,0.5,強く賛成である,どちらかというと反対である,賛成である,賛成である,強く賛成である,どちらかというと賛成である,強く賛成である,反対である,反対である,反対である,False,,中学校,洗足学園中学校,中3,0,7,7,False,False,洗足学園中学校,7
9,2025-01-27 08:14:17,2025-01-27 08:21:43,anonymous,,洗足学園中学校,中学校3年生,中学校,1/0,ほとんど使用していない,算数・数学,あまり使いこなすことができなかった,マーカー;クイズ;タイマー;,閲覧(えつらん)時間集計;マーカー分析(ぶんせき);,使用することがある,あまり使用しない,使用することがある,全く使用しない,全く使用しない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,,2.0,1.0,0.0,0.5,1.0,どちらかというと反対である,賛成である,反対である,どちらかというと反対である,どちらかというと賛成である,どちらかというと賛成である,強く反対である,どちらかというと賛成である,反対である,強く反対である,False,,中学校,洗足学園中学校,中3,1,0,12,False,False,洗足学園中学校,8
10,2025-01-27 08:13:51,2025-01-27 08:21:57,anonymous,,洗足学園中学校,中学校3年生,中学校,9,1ヶ月に数回程度,算数・数学,あまり使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,あまりあてはまらない,使っていない,使っていない,あてはまらない,使っていない,あまりあてはまらない,使っていない,少しあてはまる,あまりあてはまらない,少し重いと感じることがある。,8.0,0.5,0.0,0.0,0.5,どちらかというと賛成である,強く賛成である,どちらかというと反対である,どちらかというと賛成である,強く賛成である,どちらかというと反対である,反対である,強く賛成である,強く賛成である,反対である,False,,中学校,洗足学園中学校,中3,9,0,108,False,False,洗足学園中学校,9
11,2025-01-27 08:19:21,2025-01-27 08:25:12,anonymous,,洗足学園中学校,中学校3年生,中学校,1/0,1週間に数回程度,外国語,あまり使いこなすことができなかった,マーカー;,ほとんど使ったことがない;,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,,2.0,1.0,1.0,0.0,0.0,どちらかというと賛成である,どちらかというと賛成である,どちらかというと賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である,強く反対である,False,,中学校,洗足学園中学校,中3,1,0,12,False,False,洗足学園中学校,10
