respondent_id,学校種_canon,学校名_canon,column_key,column,choice
2,高等学校,不明,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),手書き
2,高等学校,不明,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),AIエージェント(AI先生・Tammy等)
3,小学校,不明,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",社会
3,小学校,不明,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
3,小学校,不明,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
3,小学校,不明,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),マーカー分析(ぶんせき)
4,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
4,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
4,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
5,中学校,洗足中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
5,中学校,洗足中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
5,中学校,洗足中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
6,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
6,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
6,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
7,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
7,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
7,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),手書き
7,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
8,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
8,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
8,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),クイズ
8,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),タイマー
8,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),閲覧(えつらん)時間集計
8,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),マーカー分析(ぶんせき)
9,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
9,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
9,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
10,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
10,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
10,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
11,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
11,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
11,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
12,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
12,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
12,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
12,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),クイズ
12,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
13,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
13,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
13,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
13,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
14,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
14,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
14,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
14,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
15,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
15,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
15,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
16,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
16,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
16,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),クイズ
16,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),マーカー分析(ぶんせき)
17,高等学校,洗足学園中学校高等学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
17,高等学校,洗足学園中学校高等学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
17,高等学校,洗足学園中学校高等学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
18,中学校,洗足学園中学校高等学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
18,中学校,洗足学園中学校高等学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
18,中学校,洗足学園中学校高等学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
19,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
19,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
19,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
20,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
20,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
20,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
21,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
21,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
21,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),マーカー分析(ぶんせき)
22,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
22,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
22,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
23,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
23,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
23,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
24,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
24,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
24,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
24,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),クイズ
24,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
25,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
25,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
25,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
26,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
26,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
26,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
26,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),マーカー分析(ぶんせき)
26,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
27,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
27,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
27,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
28,高等学校,天塩高等学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
28,高等学校,天塩高等学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),手書き
28,高等学校,天塩高等学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
29,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
29,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
29,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
29,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
30,中学校,洗足学園中学校高等学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
30,中学校,洗足学園中学校高等学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
30,中学校,洗足学園中学校高等学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),マーカー分析(ぶんせき)
30,中学校,洗足学園中学校高等学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),理解度チェックダッシュボード
31,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
31,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
31,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
31,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),クイズ
31,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),マーカー分析(ぶんせき)
32,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
32,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
32,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
33,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",未使用
33,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
33,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
34,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
34,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
34,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
35,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
35,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
35,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
36,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",未使用
36,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
36,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
37,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
37,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
37,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
37,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
38,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
38,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
38,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
39,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
39,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),マーカー
39,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
40,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
40,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",外国語
40,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
40,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
41,中学校,洗足学園中学校,Q_subjects,"LEAFシステム(BookRoll,分析(ぶんせき)ツール)をどの教科で使用しますか(複数選択(せんたく)可)",算数・数学
41,中学校,洗足学園中学校,Q_br_features,BookRollでよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
41,中学校,洗足学園中学校,Q_lp_features,分析ツール(ログパレ)でよく使う機能を選んでください(複数選択(せんたく)可),ほとんど使ったことがない
