ID,開始時刻,完了時刻,メール,名前,ご所属をご記入ください（例：●●市立〇〇小学校）,年齢,学校種,教職経験年数,役職（主業務に最も近いものを選択してください。）,授業でのICT活用,LEAFシステム（BookRoll，分析ツール）を授業・授業外（宿題など）で何か月くらい利用していますか。※利用期間がX年Yか月だった場合、「X/Y」というようにスラッシュで区切って、全て半角で入力してください（例：1年の場合→1/0、2年3か月の場合→2/3、未使用の場合→0/0）,LEAFシステム（BookRoll，分析ツール）を授業・授業外（宿題など）でどれくらい利用していますか,LEAFシステム（BookRoll，分析ツール）をどの教科で使用しますか（複数選択可）,BookRollでよく使う機能を選んでください（複数選択可）,分析ツール（ログパレ）でよく使う機能を選んでください（複数選択可）,教材を配布するため,児童・生徒に自分の解答を振り返らせるため,児童・生徒にクラスの人の解答を提示・参照させるため,児童・生徒にクラスの人の学び方を提示・参照させるため,児童・生徒にAIによる問題推薦やアドバイスを受けさせるため,データに基づいてグループを編成するため,クラス全体の傾向を見るため,個人の様子を見るため,取り組みのプロセスを見るため,児童生徒の理解度が高まったと感じる,授業準備時間が短縮した,根拠に基づいた授業設計や教材改善を行えるようになった,分析ツールを使用することで子供たちの学習方法に変化が生じた,個別最適な学びを実現する支援になったと感じる,主体的で対話的で深い学びを実現する支援になったと感じる,協働的な学びを実現する支援になったと感じる,探究的な学びを実現する支援になったと感じる,使い方・操作手順がわかりやすい,LEAFシステムに満足している,自由記述,児童生徒の学力を把握する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,授業に関するプリント作成する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,提出物を回収・確認する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,課外に児童生徒を個別指導する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,残業時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,学校が、コンピュータ利用によって記録される学習データを分析して、一人一人に最適な教育を提供することについてどう思いますか？,学校が、コンピュータ利用によって記録される学習データを匿名化して集計して、教育の改善に用いることについてどう思いますか？,学校が、コンピュータ利用によって記録される学習データを分析して、一人一人の進路指導に用いることについてどう思いますか？,IT、教育関連の会社が、コンピュータ利用によって記録される学習データを分析して、一人一人に最適な教育を提供することについてどう思いますか？,IT、教育関連の会社が、コンピュータ利用によって記録される学習データを匿名化して集計して、教育の改善に用いることについてどう思いますか？,児童生徒や家族が、学校でのコンピュータ利用による９年間の学習データを閲覧して、学習履歴の振り返りや学習計画に用いることについてどう思いますか？,児童生徒や家族が、小中高大から卒業後の生涯にわたる学習データを閲覧して、学習履歴の振り返りや学習計画に用いることについてどう思いますか？,国が、コンピュータ利用による９年間の学習データを匿名化して、国全体で集めて、教育の改善や研究に用いることについてどう思いますか？,国が、小中高大から卒業後の生涯にわたる学習データをを匿名化して、国全体で集めて、教育の改善や研究に用いることについてどう思いますか？,学校が、AIの顔認識技術を使って、表情や視線を分析して、授業に集中できない子、悩みを抱えている子を発見して指導することについてどう思いますか？
1,1/5/25 14:16:36,1/5/25 14:21:35,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1/6/25 15:25:04,1/6/25 15:27:47,anonymous,,,30代,高等学校,15年以上20年未満,指導教諭,1ヶ月に数回程度,2年,1週間に数回程度,算数・数学;社会;,,,使用することがある,,,,,,頻繁に使用している,頻繁に使用している,使用することがある,使っていない,,,,,,,,,,fad,2,2,36,2,2,賛成である,どちらかというと賛成である,どちらかというと反対である,強く反対である,強く賛成である,どちらかというと反対である,反対である,強く反対である,強く反対である,強く反対である
3,1/8/25 15:13:12,1/8/25 15:14:46,anonymous,,,50代,小学校,1年以上5年未満,指導教諭,1週間に数回程度,1,ほぼ毎時間,国語;外国語;,クイズ;URLリコメンド;,マーカー分析;メモ分析;,使用することがある,使用することがある,頻繁に使用している,あまり使用しない,あまり使用しない,頻繁に使用している,使用することがある,頻繁に使用している,あまり使用しない,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,使っていない,あてはまる,あてはまる,あてはまらない,あてはまる,,1,1,1,1,1,賛成である,賛成である,反対である,どちらかというと賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である,強く反対である,強く賛成である
4,1/17/25 17:09:25,1/17/25 17:15:20,anonymous,,洗足学園中学高等学校,20代,高等学校,1年以上5年未満,教諭,ほぼ毎時間,0/6,ほとんど使用していない,国語;,マーカー;,閲覧時間集計;マーカー分析;,使用することがある,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,使用することがある,あまり使用しない,あまり使用しない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,,1,3,3,10,20,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である,賛成である
5,1/17/25 18:24:49,1/17/25 18:36:49,anonymous,,私立洗足学園中学高等学校,40代,高等学校,15年以上20年未満,教諭,1週間に数回程度,2,1週間に数回程度,理科;,クイズ;マーカー;,クイズ集計;マーカー分析;閲覧時間集計;,全く使用しない,あまり使用しない,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あてはまらない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,あまりあてはまらない,記述式クイズに関して、生徒は「正解」「不正解」と出て、問題を進めることができるが、教員側はそれを集計できないし、正答率を見ることもできない。できるようになれば、個々の理解度もわかり、次の問題をどう作るか、教える内容も返られるのに。残念。,1,1,2,2,4,賛成である,賛成である,賛成である,どちらかというと賛成である,どちらかというと賛成である,賛成である,賛成である,賛成である,賛成である,どちらかというと賛成である
6,1/18/25 7:39:03,1/18/25 7:46:12,anonymous,,私立洗足学園中学高等学校,20代,中学校,1年以上5年未満,教諭,1ヶ月に数回程度,0/5,1ヶ月に数回程度,算数・数学;,マーカー;クイズ;メモ;,マーカー分析;閲覧時間集計;メモ分析;クイズ集計;,使用することがある,使用することがある,あまり使用しない,使用することがある,全く使用しない,全く使用しない,使用することがある,使用することがある,使用することがある,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,予習者側（生徒側）からは、少し動作が遅くなることがあり、予習の際にストレスを感じてしまう生徒もいるようです。,3,10,3,2,25,強く賛成である,賛成である,賛成である,強く賛成である,賛成である,強く賛成である,強く賛成である,賛成である,賛成である,どちらかというと賛成である
7,1/18/25 8:13:31,1/18/25 9:47:25,anonymous,,洗足学園中学高等学校,30代,高等学校,1年以上5年未満,教諭,1ヶ月に数回程度,4,1ヶ月に数回程度,理科;,マーカー;,マーカー分析;,あまり使用しない,あまり使用しない,全く使用しない,頻繁に使用している,あまり使用しない,あまり使用しない,頻繁に使用している,使用することがある,使用することがある,少しあてはまる,あまりあてはまらない,あてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,あてはまらない,少しあてはまる,"マーカー等の反映に少し時間がかかるのが授業をする上では難点なので、軽くしてほしい。
クイズの設定をもう少し簡単にしてほしい。半角の数字しか認めないなど指定するのが面倒なので。",1,2,2,3,20,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,どちらかというと反対である
8,1/21/25 7:42:19,1/21/25 7:49:13,anonymous,,洗足学園中学校,30代,中学校,5年以上10年未満,教諭,1週間に数回程度,0/5,1週間に数回程度,外国語;,メモ;マーカー;クイズ;URLリコメンド;,閲覧時間集計;マーカー分析;クイズ集計;,頻繁に使用している,あまり使用しない,使用することがある,あまり使用しない,全く使用しない,使用することがある,使用することがある,使用することがある,使用することがある,あまりあてはまらない,あまりあてはまらない,あてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,"英語の音声を添付した際、課題ファイルを開いた瞬間に再生されるのを改善して欲しい。
クイズを設定した時に、英文が単語の途中で改行される（e.g. the が t と he で改行されてしまう）
音声ファイルを複数選択する方法が分からない",2,2,3,2,15,強く賛成である,強く賛成である,強く賛成である,賛成である,強く賛成である,賛成である,どちらかというと賛成である,賛成である,賛成である,強く賛成である
9,1/22/25 10:22:55,1/22/25 10:27:57,anonymous,,洗足学園中学高等学校,40代,高等学校,20年以上,教諭,1ヶ月に数回程度,0/5,1ヶ月に数回程度,算数・数学;,マーカー;,マーカー分析;メモ分析;,頻繁に使用している,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,少しあてはまる,あてはまる,あてはまる,少しあてはまる,少しあてはまる,あてはまる,少しあてはまる,あてはまる,あてはまる,少しあてはまる,PDFで教科書等配布したとき、スクロールして教材を見ることができると勉強しやすいようである。（生徒からの意見です）,1,10,1,2,1,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である,強く賛成である
10,1/30/25 10:42:55,1/30/25 10:51:29,anonymous,,私立洗足学園中学校,30代,中学校,10年以上15年未満,教諭,ほぼ毎時間,0/1,ほとんど使用していない,国語;,マーカー;,マーカー分析;閲覧時間集計;,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,全く使用しない,全く使用しない,あまり使用しない,あまり使用しない,全く使用しない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,あてはまらない,"実験的に使用した。
使用した印象は大きく以下のとおり。
①生徒が扱う際の動作が遅すぎる
②改行込みの一文にマーカーを引くと、改行箇所を境に別マークと判断してしまうので、現代文においてマーカーわけが使えない
③すべての機能において、Googleに劣る。例えば、「○○をマークせよ」ではなく「○○を抜き出せ」としてフォームで解答すれば、集計まで済むため分析効率がいい。動作も早く、マークの不都合もない。
LEAFでなくてはいけない優位性がない。",4,8,2,1,5,賛成である,強く賛成である,賛成である,反対である,どちらかというと賛成である,賛成である,賛成である,賛成である,賛成である,賛成である
