年齢,学校種,教職経験年数,役職（主業務に最も近いものを選択してください。）,授業でのICT活用,LEAFシステム（BookRoll，分析ツール）を授業・授業外（宿題など）で何か月くらい利用していますか。※利用期間がX年Yか月だった場合、「X/Y」というようにスラッシュで区切って、全て半角で入力してください（例：1年の場合→1/0、2年3か月の場合→2/3、未使用の場合→0/0）,LEAFシステム（BookRoll，分析ツール）を授業・授業外（宿題など）でどれくらい利用していますか,LEAFシステム（BookRoll，分析ツール）をどの教科で使用しますか（複数選択可）,BookRollでよく使う機能を選んでください（複数選択可）,分析ツール（ログパレ）でよく使う機能を選んでください（複数選択可）,教材を配布するため,児童生徒の理解度が高まったと感じる,自由記述,残業時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,児童・生徒に自分の解答を振り返らせるため,児童・生徒にクラスの人の解答を提示・参照させるため,児童・生徒にクラスの人の学び方を提示・参照させるため,児童・生徒にAIによる問題推薦やアドバイスを受けさせるため,データに基づいてグループを編成するため,クラス全体の傾向を見るため,個人の様子を見るため,取り組みのプロセスを見るため,授業準備時間が短縮した,根拠に基づいた授業設計や教材改善を行えるようになった,分析ツールを使用することで子供たちの学習方法に変化が生じた,個別最適な学びを実現する支援になったと感じる,主体的で対話的で深い学びを実現する支援になったと感じる,協働的な学びを実現する支援になったと感じる,探究的な学びを実現する支援になったと感じる,使い方・操作手順がわかりやすい,LEAFシステムに満足している,児童生徒の学力を把握する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,授業に関するプリント作成する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,提出物を回収・確認する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）,課外に児童生徒を個別指導する時間　　1週間あたり【　　　】時間　（※半角数字で入力してください）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30代,高等学校,15年以上20年未満,指導教諭,1ヶ月に数回程度,2年,1週間に数回程度,算数・数学;社会;,,,使用することがある,使っていない,fad,2.0,,,,,,頻繁に使用している,頻繁に使用している,使用することがある,,,,,,,,,,2.0,2.0,36.0,2.0
50代,小学校,1年以上5年未満,指導教諭,1週間に数回程度,1,ほぼ毎時間,国語;外国語;,クイズ;URLリコメンド;,マーカー分析;メモ分析;,使用することがある,あまりあてはまらない,,1.0,使用することがある,頻繁に使用している,あまり使用しない,あまり使用しない,頻繁に使用している,使用することがある,頻繁に使用している,あまり使用しない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,使っていない,あてはまる,あてはまる,あてはまらない,あてはまる,1.0,1.0,1.0,1.0
20代,高等学校,1年以上5年未満,教諭,ほぼ毎時間,0/6,ほとんど使用していない,国語;,マーカー;,閲覧時間集計;マーカー分析;,使用することがある,あまりあてはまらない,,20.0,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,使用することがある,あまり使用しない,あまり使用しない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,1.0,3.0,3.0,10.0
40代,高等学校,15年以上20年未満,教諭,1週間に数回程度,2,1週間に数回程度,理科;,クイズ;マーカー;,クイズ集計;マーカー分析;閲覧時間集計;,全く使用しない,あまりあてはまらない,記述式クイズに関して、生徒は「正解」「不正解」と出て、問題を進めることができるが、教員側はそれを集計できないし、正答率を見ることもできない。できるようになれば、個々の理解度もわかり、次の問題をどう作るか、教える内容も返られるのに。残念。,4.0,あまり使用しない,あまり使用しない,全く使用しない,全く使用しない,全く使用しない,あまり使用しない,あまり使用しない,あまり使用しない,少しあてはまる,あまりあてはまらない,あてはまらない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,あまりあてはまらない,1.0,1.0,2.0,2.0
20代,中学校,1年以上5年未満,教諭,1ヶ月に数回程度,0/5,1ヶ月に数回程度,算数・数学;,マーカー;クイズ;メモ;,マーカー分析;閲覧時間集計;メモ分析;クイズ集計;,使用することがある,少しあてはまる,予習者側（生徒側）からは、少し動作が遅くなることがあり、予習の際にストレスを感じてしまう生徒もいるようです。,25.0,使用することがある,あまり使用しない,使用することがある,全く使用しない,全く使用しない,使用することがある,使用することがある,使用することがある,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,3.0,10.0,3.0,2.0
30代,高等学校,1年以上5年未満,教諭,1ヶ月に数回程度,4,1ヶ月に数回程度,理科;,マーカー;,マーカー分析;,あまり使用しない,少しあてはまる,"マーカー等の反映に少し時間がかかるのが授業をする上では難点なので、軽くしてほしい。
クイズの設定をもう少し簡単にしてほしい。半角の数字しか認めないなど指定するのが面倒なので。",20.0,あまり使用しない,全く使用しない,頻繁に使用している,あまり使用しない,あまり使用しない,頻繁に使用している,使用することがある,使用することがある,あまりあてはまらない,あてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,あてはまらない,少しあてはまる,1.0,2.0,2.0,3.0
30代,中学校,5年以上10年未満,教諭,1週間に数回程度,0/5,1週間に数回程度,外国語;,メモ;マーカー;クイズ;URLリコメンド;,閲覧時間集計;マーカー分析;クイズ集計;,頻繁に使用している,あまりあてはまらない,"英語の音声を添付した際、課題ファイルを開いた瞬間に再生されるのを改善して欲しい。
クイズを設定した時に、英文が単語の途中で改行される（e.g. the が t と he で改行されてしまう）
音声ファイルを複数選択する方法が分からない",15.0,あまり使用しない,使用することがある,あまり使用しない,全く使用しない,使用することがある,使用することがある,使用することがある,使用することがある,あまりあてはまらない,あてはまる,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,2.0,2.0,3.0,2.0
40代,高等学校,20年以上,教諭,1ヶ月に数回程度,0/5,1ヶ月に数回程度,算数・数学;,マーカー;,マーカー分析;メモ分析;,頻繁に使用している,少しあてはまる,PDFで教科書等配布したとき、スクロールして教材を見ることができると勉強しやすいようである。（生徒からの意見です）,1.0,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あてはまる,あてはまる,少しあてはまる,少しあてはまる,あてはまる,少しあてはまる,あてはまる,あてはまる,少しあてはまる,1.0,10.0,1.0,2.0
30代,中学校,10年以上15年未満,教諭,ほぼ毎時間,0/1,ほとんど使用していない,国語;,マーカー;,マーカー分析;閲覧時間集計;,あまり使用しない,あてはまらない,"実験的に使用した。
使用した印象は大きく以下のとおり。
①生徒が扱う際の動作が遅すぎる
②改行込みの一文にマーカーを引くと、改行箇所を境に別マークと判断してしまうので、現代文においてマーカーわけが使えない
③すべての機能において、Googleに劣る。例えば、「○○をマークせよ」ではなく「○○を抜き出せ」としてフォームで解答すれば、集計まで済むため分析効率がいい。動作も早く、マークの不都合もない。
LEAFでなくてはいけない優位性がない。",5.0,あまり使用しない,あまり使用しない,あまり使用しない,全く使用しない,全く使用しない,あまり使用しない,あまり使用しない,全く使用しない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あてはまらない,あまりあてはまらない,あてはまらない,4.0,8.0,2.0,1.0
40代,中学校,20年以上,管理職（校長、副校長、教頭など）,ほとんど使用していない,ｄｆ,ほぼ毎時間,国語;,メモ;,閲覧時間集計;,頻繁に使用している,あてはまる,ｄ,2.0,当該機能を知らない,頻繁に使用している,頻繁に使用している,当該機能を知らない,全く使用しない,頻繁に使用している,当該機能を知らない,当該機能を知らない,使っていない,使っていない,あまりあてはまらない,あてはまらない,あてはまらない,あてはまらない,少しあてはまる,あまりあてはまらない,あてはまる,2.0,2.0,2.0,2.0
50代,中学校,20年以上,教諭,ほぼ毎時間,０,ほとんど使用していない,使用していない;,ほとんど使ったことがない;,ほとんど使ったことがない;,全く使用しない,使っていない,,10.0,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,1.0,1.0,2.0,1.0
30代,中学校,10年以上15年未満,教務主任,ほぼ毎時間,4/10,ほぼ毎時間,算数・数学;,マーカー;クイズ;メモ;手書き;,マーカー分析;メモ分析;ペンストローク分析;理解度チェックダッシュボード;,頻繁に使用している,少しあてはまる,生徒がタブレットに触れる機会が増え、ノートを使わずタブレットに書き込むことへの抵抗がここ数年で一気に無くなっています。その中で、たくさんのアプリに触れる中で、ログを取っている分、書き味が他に比べてラグを感じる生徒が多く、そこに書いた内容が消えてしまうエラー等が重なって生じると、よりBookRoll離れが起きてしまいます。現状では、BookRollにアップした問題をスクリーンショットして、ロイロノートにまとめる生徒が多いような印象です。BookRollはいいシステムなだけに、何とかならないかな…と思いました。（過去に比べると、随分と改善されていることを授業者は感じているのですが）,80.0,使用することがある,頻繁に使用している,頻繁に使用している,使用することがある,全く使用しない,使用することがある,あまり使用しない,使用することがある,あてはまる,少しあてはまる,少しあてはまる,あてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,少しあてはまる,2.0,4.0,2.0,1.0
20代,中学校,1年以上5年未満,教諭,ほぼ毎時間,4/0,1ヶ月に数回程度,外国語;,マーカー;,マーカー分析;,使用することがある,あまりあてはまらない,,8.0,全く使用しない,使用することがある,全く使用しない,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,1.0,1.0,3.0,2.0
60代以上,中学校,20年以上,教諭,ほぼ毎時間,2/6,1ヶ月に数回程度,理科;,問題集の解説;,ほとんど使ったことがない;,あまり使用しない,使っていない,,0.0,使用することがある,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,全く使用しない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,使っていない,5.0,5.0,7.0,0.5
30代,中学校,5年以上10年未満,教諭,ほぼ毎時間,3/11,1ヶ月に数回程度,国語;,手書き;マーカー;,ほとんど使ったことがない;,使用することがある,あまりあてはまらない,,2.0,あまり使用しない,あまり使用しない,あまり使用しない,全く使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまり使用しない,あまりあてはまらない,あまりあてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,少しあてはまる,2.0,3.0,2.0,3.0
30代,中学校,10年以上15年未満,教諭,ほぼ毎時間,3/10,ほぼ毎時間,算数・数学;,資料や解答例の提示;,メモ分析;ペンストローク分析;理解度チェックダッシュボード;,頻繁に使用している,あてはまらない,"操作の反応スピードの向上
資料のアップロードのしやすさの改善（アップロードまでに操作が多い）",5.0,あまり使用しない,全く使用しない,当該機能を知らない,使用することがある,当該機能を知らない,あまり使用しない,あまり使用しない,全く使用しない,少しあてはまる,あまりあてはまらない,あてはまらない,あまりあてはまらない,少しあてはまる,少しあてはまる,あまりあてはまらない,少しあてはまる,少しあてはまる,2.0,5.0,1.0,1.0
