school_canon,_q8_raw,_q8_parsed,_q8_has_ans
不明,,,False
不明,クイズ;URLリコメンド;,クイズ;URLリコメンド,True
洗足学園高等学校,マーカー;,,False
洗足学園高等学校,クイズ;マーカー;,クイズ,True
洗足学園中学校,マーカー;クイズ;メモ;,クイズ;メモ,True
洗足学園高等学校,マーカー;,,False
洗足学園中学校,メモ;マーカー;クイズ;URLリコメンド;,メモ;クイズ;URLリコメンド,True
洗足学園高等学校,マーカー;,,False
洗足学園中学校,マーカー;,,False
西京高等学校付属中学校,メモ;,メモ,True
西京高等学校付属中学校,ほとんど使ったことがない;,ほとんど使ったことがない,True
西京高等学校付属中学校,マーカー;クイズ;メモ;手書き;,クイズ;メモ;手書き,True
西京高等学校付属中学校,マーカー;,,False
西京高等学校付属中学校,問題集の解説;,その他,True
西京高等学校付属中学校,手書き;マーカー;,手書き,True
西京高等学校付属中学校,資料や解答例の提示;,その他,True
不明,URLリコメンド;,URLリコメンド,True
西京高等学校付属中学校,メモ;,メモ,True
西賀茂中学校,マーカー;クイズ;,クイズ,True
岩沼小学校,マーカー;,,False
西賀茂中学校,マーカー;,,False
西賀茂中学校,クイズ;,クイズ,True
明徳小学校,マーカー;,,False
