item,n_valid,mean_score_1to5,count_そう思わない,perc_そう思わない,count_あまりそう思わない,perc_あまりそう思わない,count_どちらともいえない,perc_どちらともいえない,count_ややそう思う,perc_ややそう思う,count_そう思う,perc_そう思う
LEAFシステムに満足している,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
使い方・操作(そうさ)手順がわかりやすい,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
自分に合った学びを実現する助けになったと感じる,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
自分で計画を立てたり自分の考えを広めたり深めたりして学ぶ助けになったと感じる,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
他の人と協力しながら学ぶ助けになったと感じる,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
根拠(こんきょ)に基づいた勉強計画や復習を行えるようになった,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
勉強を効率よく短時間で行えるようになった,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
理解度が高まったと感じる,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
分析(ぶんせき)ツールを使用することで自分の学習方法に変化が生じた,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
自分で課題を設定して追究していく学びの助けになったと感じる,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
