choice,不明,北海道天塩高等学校,北海道寿都高等学校,岩沼小学校,洗足学園中学校,西京高等学校,西京高等学校付属中学校,西賀茂中学校
AI先生,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
読む,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
解答を見る,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
見るだけ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
答え合わせ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
教科書とか,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
しおり,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
問題を解く,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
アンケート,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
プリントのかわり,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AI推薦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
辞書,0.0,0.0,0.0,0.0,2.0,1.0,6.0,5.0
タイマー,0.0,0.0,0.0,1.0,2.0,16.0,1.0,4.0
URLリコメンド,0.0,0.0,0.0,0.0,0.0,27.0,14.0,11.0
クイズ,0.0,0.0,0.0,0.0,7.0,14.0,13.0,31.0
メモ,0.0,1.0,0.0,2.0,1.0,15.0,91.0,27.0
手書き,1.0,10.0,0.0,1.0,1.0,6.0,115.0,15.0
ほとんど使ったことがない,0.0,3.0,2.0,1.0,10.0,9.0,20.0,142.0
マーカー,1.0,4.0,1.0,70.0,54.0,31.0,38.0,111.0
