choice,中1,中2,中3,小6,高1,高2,高3
AI先生,0.0,1.0,0.0,0.0,0.0,0.0,0.0
読む,0.0,0.0,1.0,0.0,0.0,0.0,0.0
解答を見る,0.0,1.0,0.0,0.0,0.0,0.0,0.0
見るだけ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
答え合わせ,0.0,1.0,0.0,0.0,0.0,0.0,0.0
教科書とか,0.0,1.0,0.0,0.0,0.0,0.0,0.0
しおり,0.0,0.0,0.0,0.0,1.0,0.0,0.0
問題を解く,0.0,0.0,1.0,0.0,0.0,0.0,0.0
アンケート,0.0,1.0,0.0,0.0,0.0,0.0,0.0
プリントのかわり,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AI推薦,0.0,2.0,0.0,0.0,0.0,0.0,0.0
辞書,0.0,4.0,9.0,0.0,1.0,0.0,0.0
タイマー,0.0,0.0,6.0,1.0,17.0,0.0,0.0
URLリコメンド,0.0,18.0,7.0,0.0,27.0,0.0,0.0
クイズ,1.0,35.0,14.0,0.0,15.0,0.0,0.0
メモ,1.0,66.0,52.0,2.0,15.0,1.0,0.0
手書き,5.0,46.0,82.0,1.0,5.0,8.0,2.0
ほとんど使ったことがない,0.0,74.0,98.0,1.0,6.0,6.0,2.0
マーカー,3.0,44.0,155.0,70.0,32.0,5.0,1.0
