choice,不明,北海道天塩高等学校,北海道寿都高等学校,岩沼小学校,洗足学園中学校,西京高等学校,西京高等学校付属中学校,西賀茂中学校
最近はあまり使わない,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
テスト結果集計,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ワードクラウド,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0
クイズ集計,0.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0
AIエージェント(AI先生・Tammy等),1.0,0.0,0.0,0.0,0.0,4.0,16.0,3.0
閲覧(えつらん)時間集計,0.0,0.0,0.0,0.0,1.0,4.0,15.0,22.0
メモ分析(ぶんせき),0.0,1.0,0.0,4.0,0.0,3.0,19.0,17.0
理解度チェックダッシュボード,0.0,0.0,0.0,0.0,1.0,1.0,59.0,23.0
AI推薦(すいせん),0.0,0.0,0.0,0.0,1.0,3.0,67.0,90.0
マーカー分析(ぶんせき),1.0,1.0,0.0,69.0,9.0,16.0,14.0,85.0
ほとんど使ったことがない,0.0,13.0,2.0,1.0,56.0,24.0,74.0,111.0
